code,name,tmin,tmax,t10th,t90th,ppt,p10th,p90th,h10th,h90th,c10th,c90th,area5m
AGO,Angola,14.8,28.3,2.1,2.7,1010,-89,75,7.0,20.2,-2.2,-2.6,0.21
DZA,Algeria,15.4,29.6,2.4,3.0,89,-39,4,3.9,7.8,-1.7,-2.0,0.35
EGY,Egypt Arab Rep.,14.8,29.4,1.9,2.4,51,-20,1,4.0,8.1,-1.7,-2.1,4.05
BGD,Bangladesh,20.4,29.6,1.7,2.4,2665,-126,120,3.4,11.8,-1.7,-2.1,14.07
LIE,Liechtenstein,2.2,9.1,1.7,2.8,1539,-66,32,2.8,5.0,-1.4,-1.5,0.00
FSM,Micronesia Fed. Sts.,1.4,1.7,-85,411,26.4,27.4,-3.0,-3.0,33.37
SOM,Somalia,21.2,32.9,1.9,2.2,282,-4,111,9.5,21.2,-2.2,-2.8,0.57
NAM,Namibia,12.7,27.2,2.2,2.9,285,-67,23,5.8,13.1,-1.9,-2.2,0.29
IMY,Isle of Man,1.3,1.8,-13,56,2.9,4.9,-1.3,-1.4,12.09
BGR,Bulgaria,5.6,15.5,1.9,3.1,608,-127,-21,2.9,6.0,-1.4,-1.3,0.43
BOL,Bolivia,15.2,27.9,2.1,3.0,1146,-91,137,5.1,16.9,-2.0,-2.1,0.00
GHA,Ghana,22.1,32.3,1.8,2.4,1187,-159,83,6.6,22.1,-2.4,-2.5,0.77
PAK,Pakistan,13.2,27.2,2.4,3.4,305,-60,36,3.4,8.1,-1.8,-1.9,1.42
CPV,Cape Verde,19.6,27.0,1.4,1.8,424,-32,12,8.4,15.4,-2.9,-2.9,14.52
JOR,Jordan,11.2,25.4,2.1,2.9,111,-28,-3,3.7,7.4,-1.5,-1.6,2.01
LBR,Liberia,20.0,30.6,1.7,2.2,2391,-115,81,10.2,25.3,-2.7,-2.7,0.35
LBY,Libya,14.4,29.2,2.0,2.4,57,-18,5,3.5,7.6,-1.7,-2.1,0.78
MYS,Malaysia,21.2,29.6,1.6,1.9,2875,-160,117,13.0,26.3,-2.5,-2.8,2.99
PRI,Puerto Rico,21.2,29.3,1.4,1.8,2054,-133,37,12.8,24.2,-3.0,-2.9,7.73
MYT,Mayotte,1.5,1.8,-24,112,13.1,19.8,-3.0,-3.0,21.56
PRK,Korea Dem. Rep.,0.3,11.1,2.1,2.7,1062,-9,129,2.6,4.6,-1.4,-1.8,2.42
TZA,Tanzania,16.7,28.0,1.9,2.2,1071,-9,167,6.2,21.6,-2.1,-2.8,0.18
BWA,Botswana,13.6,29.4,2.5,3.3,416,-106,24,4.7,12.8,-1.8,-2.1,0.00
KHM,Cambodia,22.3,31.3,1.6,2.0,1903,-109,95,4.5,18.2,-1.8,-1.7,3.84
PRY,Paraguay,17.7,29.4,1.9,2.6,1130,-48,112,3.5,11.8,-0.8,-1.2,0.00
HKG,Hong Kong SAR China,19.3,26.0,1.4,1.9,2240,-83,73,7.4,10.3,-1.2,-1.4,24.57
SAU,Saudi Arabia,18.2,31.1,2.3,2.9,-27,9,4.6,9.5,-1.5,-1.7,0.48
LBN,Lebanon,10.7,22.1,2.0,2.9,661,-75,-27,3.6,7.5,-1.7,-1.6,1.74
SVN,Slovenia,4.2,13.6,2.0,3.0,1161,-93,5,3.1,5.6,-1.4,-1.5,0.20
BFA,Burkina Faso,21.5,35.0,2.2,2.8,748,-229,88,5.3,16.6,-2.1,-2.6,0.00
CHE,Switzerland,2.0,9.0,1.7,2.8,1537,-89,11,3.1,5.6,-1.4,-1.5,0.00
MRT,Mauritania,20.2,35.1,2.4,3.1,92,-113,9,5.1,10.6,-2.0,-2.4,1.05
CHI,Channel Islands,..
HRV,Croatia,6.2,15.6,1.9,2.9,1113,-112,-2,3.2,6.0,-1.6,-1.6,3.03
CHL,Chile,3.5,13.4,1.2,1.9,716,-118,24,3.8,7.3,-1.7,-1.7,3.08
CHN,China,0.9,13.0,2.1,3.0,627,-37,86,2.9,5.6,-1.5,-1.6,1.38
KNA,St. Kitts and Nevis,20.8,28.2,1.3,1.8,2133,-102,32,12.2,22.5,-3.0,-3.0,19.02
JAM,Jamaica,20.6,29.3,1.3,1.8,2051,-102,28,14.0,23.7,-2.9,-2.8,7.14
GIB,Gibraltar,13.3,21.7,1.8,2.7,618,-100,-26,3.4,7.8,-1.9,-1.9,100.00
DJI,Djibouti,22.8,33.2,2.0,2.7,220,-29,57,7.1,16.1,-2.3,-2.6,2.56
GIN,Guinea,19.6,31.8,2.0,2.6,1651,-122,104,6.9,20.2,-2.4,-2.5,1.05
FIN,Finland,-2.4,5.8,2.4,3.7,536,37,103,1.7,4.1,-1.7,-1.9,1.11
URY,Uruguay,12.2,22.9,1.4,1.8,1265,0,130,2.0,5.7,-0.8,-1.0,1.91
THA,Thailand,21.2,31.4,1.7,2.1,1622,-109,76,3.6,17.0,-1.6,-1.6,4.17
SYC,Seychelles,24.5,29.8,1.5,1.8,1970,-75,226,17.5,24.7,-3.0,-3.0,43.94
NPL,Nepal,1.5,14.7,2.2,3.4,1321,-116,231,2.5,8.0,-2.1,-2.1,0.00
MAR,Morocco,11.1,23.1,2.1,3.0,346,-62,-5,3.6,7.9,-1.8,-2.0,0.70
YEM,Yemen Rep.,18.6,29.1,2.0,2.6,167,-24,51,5.6,13.1,-2.0,-2.2,0.56
PHL,Philippines,21.6,30.1,1.4,1.8,2348,-136,140,13.5,23.8,-2.5,-2.5,6.02
ZAF,South Africa,10.6,24.9,1.9,2.7,495,-78,33,4.1,10.4,-1.7,-2.0,0.13
KIR,Kiribati,25.3,31.1,1.6,2.0,1942,81,385,13.6,23.6,-2.4,-2.4,96.67
GAB,Gabon,20.9,29.2,1.8,2.2,1831,-51,148,13.7,26.9,-2.6,-2.9,0.54
VIR,Virgin Islands (U.S.),21.5,29.7,1.3,1.7,2263,-116,44,12.4,23.3,-3.0,-2.9,30.96
SYR,Syrian Arab Republic,10.8,24.7,2.2,3.1,318,-57,-13,3.3,6.7,-1.6,-1.3,0.06
MAC,Macao SAR China,19.5,26.1,1.4,1.9,2219,-83,73,7.4,10.3,-1.2,-1.4,35.39
NIC,Nicaragua,20.3,29.5,1.6,2.4,2391,-220,19,10.4,26.0,-2.6,-2.8,3.57
KAZ,Kazakhstan,0.6,12.2,2.2,3.1,250,-1,37,2.3,5.0,-1.2,-1.4,6.68
COK,Cook Islands,21.6,27.6,1.3,1.7,1925,-57,174,11.3,16.3,-2.6,-2.6,87.87
TCA,Turks and Caicos Islands,24.9,31.1,1.4,1.7,3035,-87,52,10.9,18.5,-2.5,-2.3,53.27
ZAR,Congo Dem. Rep.,18.4,29.6,2.1,2.4,1543,-48,128,6.4,24.7,-2.1,-2.7,0.02
PYF,French Polynesia,1.3,1.7,-79,283,16.4,24.5,-2.9,-2.8,37.60
NIU,Niue,21.6,27.3,1.3,1.7,2210,-9,153,8.7,15.1,-2.7,-2.7,10.44
IRL,Ireland,5.9,12.7,0.9,1.4,1118,-13,78,3.0,5.6,-1.3,-1.4,3.96
DMA,Dominica,18.9,25.8,1.3,1.7,3436,-106,42,13.4,23.8,-3.0,-2.9,9.40
KSV,Kosovo,2.0,3.1,-148,-34,3.1,6.3,-1.5,-1.3,..
BEN,Benin,21.7,33.4,2.0,2.5,1039,-207,97,5.5,19.2,-2.3,-2.6,1.16
NGA,Nigeria,20.8,32.8,2.0,2.5,1150,-128,89,5.5,19.0,-2.2,-2.5,0.54
BEL,Belgium,5.5,13.6,1.4,2.4,847,-64,29,2.9,5.5,-1.4,-1.5,9.24
DEU,Germany,4.6,12.4,1.7,2.6,700,-38,57,2.6,5.0,-1.5,-1.5,4.92
GUM,Guam,1.3,1.7,-25,230,18.9,27.0,-3.0,-3.0,20.38
LKA,Sri Lanka,23.3,30.6,1.5,1.8,1712,11,196,7.9,23.9,-2.8,-2.9,3.87
GBR,United Kingdom,5.1,11.8,1.1,1.8,1220,-10,66,3.0,5.4,-1.4,-1.5,7.61
GUY,Guyana,21.6,30.4,1.9,3.0,2387,-158,72,8.9,26.3,-2.5,-3.0,2.72
CRI,Costa Rica,19.6,30.0,1.6,2.3,2926,-239,60,11.8,26.8,-2.8,-3.0,2.12
CMR,Cameroon,19.1,30.1,2.1,2.4,1604,-71,115,6.2,22.0,-2.4,-2.4,0.08
ROM,Romania,3.8,13.8,2.0,3.1,637,-92,2,3.0,5.5,-1.5,-1.6,2.91
MNP,Northern Mariana Islands,24.4,30.3,1.4,1.8,7369,1,197,17.5,26.4,-3.0,-2.9,28.06
LSO,Lesotho,5.2,18.5,2.0,2.5,789,-66,89,3.7,10.1,-1.6,-1.9,0.00
HUN,Hungary,4.8,14.7,2.0,3.0,589,-75,23,3.0,5.3,-1.5,-1.7,0.00
TKM,Turkmenistan,8.7,21.5,1.8,3.0,162,-32,12,2.7,5.7,-1.0,-1.1,5.30
TTO,Trinidad and Tobago,21.5,30.0,1.5,2.1,1787,-266,8,14.7,26.5,-2.9,-3.0,7.98
NLD,Netherlands,5.5,13.0,1.4,2.3,778,-18,50,2.9,5.3,-1.6,-1.6,58.47
COM,Comoros,21.6,29.5,1.5,1.8,1754,-9,140,12.2,19.2,-3.0,-3.0,13.46
BMU,Bermuda,16.6,26.0,1.3,1.7,1506,-97,60,6.5,8.6,-2.0,-2.1,82.26
TCD,Chad,18.6,34.5,2.3,2.6,322,-79,41,5.1,13.7,-1.8,-2.3,0.00
GEO,Georgia,0.4,11.2,1.9,3.0,1026,-77,-3,2.8,5.9,-1.3,-1.3,1.43
MNE,Montenegro,1.9,2.9,-138,-27,3.2,6.4,-1.6,-1.5,..
MNG,Mongolia,-7.7,6.3,2.3,3.1,241,1,50,2.2,4.2,-1.3,-1.4,0.00
MHL,Marshall Islands,24.7,30.1,1.4,1.8,2705,8,240,20.8,27.1,-3.0,-3.0,99.02
BLZ,Belize,21.0,29.6,1.7,2.6,2191,-189,16,8.3,21.2,-1.5,-1.6,9.45
SWE,Sweden,-2.1,6.3,2.1,3.1,624,35,107,2.0,4.4,-1.7,-1.8,1.53
AFG,Afghanistan,5.5,19.7,2.3,3.6,327,-58,13,3.1,7.0,-1.4,-1.5,0.00
BDI,Burundi,13.8,25.8,2.1,2.4,1218,-21,206,7.8,26.2,-2.1,-2.8,0.00
BLR,Belarus,2.0,10.3,2.2,3.1,618,8,70,2.1,4.5,-1.5,-1.7,0.00
MAF,St. Martin (French part),..
GRD,Grenada,22.8,30.5,1.5,1.9,1535,-245,7,15.1,25.9,-3.0,-3.0,21.75
GRC,Greece,10.5,20.3,1.7,2.6,652,-110,-40,3.5,6.5,-1.7,-1.7,6.33
GRL,Greenland,-22.6,-9.5,1.9,3.0,585,6,74,2.5,4.6,-1.5,-1.7,16.27
MOZ,Mozambique,18.5,29.1,1.9,2.4,1031,-69,61,5.0,15.0,-2.2,-2.5,1.83
TJK,Tajikistan,-3.9,7.9,2.3,3.4,491,-46,27,3.2,7.0,-1.4,-1.5,0.00
HTI,Haiti,20.1,29.7,1.5,1.8,1440,-125,34,12.6,23.1,-2.8,-2.8,3.94
BRB,Barbados,22.4,29.6,1.4,1.7,2066,-154,14,13.7,23.6,-3.0,-2.9,15.69
LCA,St. Lucia,22.2,28.8,1.4,1.7,2301,-159,14,14.1,24.1,-3.0,-2.9,8.02
IND,India,17.7,29.6,1.9,2.6,1083,-91,135,4.6,13.3,-2.0,-2.2,1.35
VCT,St. Vincent and the Grenadines,23.4,30.2,1.4,1.7,1583,-165,15,14.5,24.6,-3.0,-3.0,21.96
BTN,Bhutan,1.2,13.6,1.9,3.0,1667,-112,298,2.9,8.7,-2.0,-2.1,0.00
VNM,Vietnam,20.6,28.3,1.4,2.1,1821,-107,61,5.7,14.4,-1.5,-1.5,17.50
NOR,Norway,-2.0,5.0,1.8,3.3,1119,41,131,2.2,4.8,-1.8,-1.8,4.85
CZE,Czech Republic,3.3,11.8,1.9,2.8,677,-43,55,2.5,4.7,-1.5,-1.6,0.00
TMP,Timor-Leste,1.3,1.7,-123,206,16.1,25.9,-3.0,-3.0,2.89
ATG,Antigua and Barbuda,22.5,29.5,1.3,1.7,2420,-104,37,12.8,23.2,-3.0,-3.0,32.42
FJI,Fiji,20.9,27.9,1.3,1.7,2593,-93,271,10.0,17.5,-2.7,-2.7,11.36
HND,Honduras,18.9,28.1,1.6,2.6,1976,-204,15,10.2,24.5,-2.2,-2.5,3.04
MUS,Mauritius,18.9,25.9,1.3,1.7,2041,-165,67,8.5,13.7,-2.9,-2.9,7.07
DOM,Dominican Republic,19.9,29.2,1.5,1.8,1410,-128,30,12.1,23.6,-2.8,-2.9,4.14
LUX,Luxembourg,4.4,12.9,1.5,2.5,934,-86,26,2.9,5.0,-1.4,-1.4,0.00
ISR,Israel,13.4,25.0,1.9,2.7,435,-41,-11,3.7,7.7,-1.6,-1.8,7.82
SMR,San Marino,8.2,15.5,1.9,3.0,840,-111,3,3.6,6.2,-1.5,-1.4,0.00
PER,Peru,13.5,25.7,2.1,2.7,1493,-57,181,7.7,22.9,-2.5,-2.7,0.38
SXM,Sint Maarten (Dutch part),..
IDN,Indonesia,21.1,30.6,1.5,1.8,2702,-160,234,16.5,26.7,-2.8,-2.9,5.50
VUT,Vanuatu,20.6,27.3,1.3,1.7,2876,-163,180,10.4,18.7,-2.8,-2.8,11.68
GNQ,Equatorial Guinea,20.6,28.5,1.8,2.1,2156,-16,129,12.6,27.1,-2.8,-2.9,0.92
SUR,Suriname,21.3,30.1,1.9,2.9,2331,-138,107,9.9,26.6,-2.4,-3.0,3.45
COG,Congo Rep.,19.8,29.3,2.0,2.3,1646,-40,134,9.1,26.5,-2.3,-2.7,0.05
ISL,Iceland,-1.1,4.6,0.9,2.3,978,-1,101,3.1,5.7,-1.4,-1.5,4.41
ETH,Ethiopia,15.5,28.9,2.1,2.5,848,-42,79,6.6,21.4,-2.0,-2.7,0.67
NER,Niger,19.4,34.9,2.4,2.8,151,-71,36,5.4,12.2,-1.8,-2.4,0.00
