code,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AGO,Angola,10260193360.68,12193746624.68,5779394291.76,5285600050.35,4059577145.36,5039534776.49,7526446605.52,7675412589.46,6445192203.75,6154480286.74,9129180360.52,8936023211.53,11431738445.42,13956268299.11,19775218958.00,30632364953.75,45163239832.43,60451594399.40,84178512502.43,75492890278.34,84390572976.7371,..
DZA,Algeria,62045098370.08,45715368143.98,48003297248.87,49946456681.24,42542573602.17,41764054034.65,46941496308.28,48177861890.89,48187780126.18,48640613515.07,54790058957.37,55180990395.74,57053038888.24,68018606041.40,85013944727.96,102339100115.45,117169320524.24,135803556324.92,170989269622.04,140576526509.70,1.59426E+11,..
EGY,Egypt Arab Rep.,43130415154.46,36970555121.63,41855483504.03,46578631212.61,51897983715.56,60159244485.21,67629717779.74,78436575743.86,84828807269.54,90710703939.46,99838540997.32,97632008050.94,87850680572.79,82923680621.54,78845185709.41,89685724889.16,107484034648.25,130472894494.81,162836363636.36,188984088127.30,218912422332.08,..
BGD,Bangladesh,30128776343.58,30957444767.42,31708863729.97,33166530060.04,33768661426.81,37939752959.87,40666015641.06,42318798537.71,44091754148.18,45694072379.37,47124925462.13,46987842846.55,47571130071.39,51913661485.32,56560744012.23,60277560975.61,61901116736.15,68415421372.72,79554350677.74,89359767441.86,1.00076E+11,..
NER,Niger,2480680484.00,2327993642.79,2344994701.90,1606581743.71,1563220457.87,1880797332.94,1987780224.46,1845597711.25,2076743693.02,2018190752.95,1798365122.62,1945323583.98,2170481508.87,2731417756.37,3052898739.47,3405135477.41,3645126125.95,4290510300.10,5369911346.33,5259368130.36,5548814097.97,..
NAM,Namibia,2350307518.86,2492290810.72,2837643854.48,2846613961.57,3251945055.73,3503088568.37,3491458823.18,3635229630.80,3398703829.25,3385824193.81,3908501440.92,3546869555.12,..,4934391534.39,6605804204.82,7261676364.21,7980502215.66,8805815602.84,8967523024.72,9182440405.95,12170331921.87,..
VEN,Venezuela RB,47027508385.03,51734363023.78,58470358475.87,58107555298.46,56529904239.46,74888742183.68,68258588862.78,85837385778.75,91338542541.77,97974136436.65,117147614565.56,122909734601.32,92889586976.18,83622191418.98,112451400422.98,145513489651.87,183477522123.89,226537506287.84,311130615277.13,326132984629.72,387851676867.30,..
BGR,Bulgaria,20726300434.70,10943548723.76,10371900499.46,10831999516.81,9704877673.49,13069087676.73,8890314314.92,10053468883.36,13060786260.89,13228374664.81,12903546576.09,13868600612.00,15979194407.51,20668176666.37,25283228735.92,28895083539.80,33209188725.28,42113655820.48,51824867626.65,48568714011.52,47714490182.80,..
BOL,Bolivia,4867582765.48,5343259488.69,5643864513.50,5734703516.15,5981218963.40,6715164449.93,7396952017.82,7925733799.38,8497499275.78,8285061590.60,8397858205.83,8141513227.14,7905485150.07,8082396474.24,8773451753.44,9549196301.70,11451297465.95,13120517443.16,16675015771.13,17339992191.23,19786162177.57,..
GHA,Ghana,5886003649.32,6599578348.89,6412625105.01,5965704271.66,5440519990.86,6457441706.32,6925530171.96,6884024595.94,7474018853.52,7709811561.08,4977488790.22,5309158304.00,6159567360.42,7624164925.55,8871872034.96,10720345993.40,20388317031.72,24632480407.08,28526922399.34,26169336383.84,31305891329.22,..
PAK,Pakistan,40010425587.14,45451961233.99,48635242274.16,51478354558.33,51894795657.77,60636071684.19,63320170084.41,62433340468.02,62191955814.35,62973855718.89,73952374969.80,72309738921.33,72306820396.23,83244801092.71,97977766197.67,109600000000.00,127500000000.00,143171182643.10,163891676021.60,161989976155.70,174799150101.47,..
CPV,Cape Verde,338690985.32,351313578.31,393844570.55,363247416.91,410804606.12,490609345.11,502176380.16,506433841.30,539517920.09,583442832.02,531386031.90,550199629.95,616209203.88,797314309.69,924644653.09,999332627.44,1107887282.28,1331215013.59,1550552391.54,1586929006.30,1648089239.77701,..
JOR,Jordan,4020267827.01,4193336133.69,5310833151.19,5605775321.54,6237267189.00,6727454310.65,6928490840.95,7248048122.68,7914118276.95,8151541084.48,8463892909.23,8980439920.00,9584232160.00,10197756160.00,11411390546.85,12588665467.81,15645466528.10,17765381659.88,22696902203.59,25092339119.31,27573536000.00,..
LBR,Liberia,384400000.00,348000000.00,223500000.00,160400000.00,132200000.00,134800000.00,159400000.00,295900000.00,359600012.47,441800017.77,560900012.22,543000031.67,559300023.58,410200003.56,459999996.16,530200009.34,611859674.74,734933279.20,842507277.56,879464612.59,986201593.74,..
LBY,Libya,28904898117.74,31992732972.36,33887047909.27,30660051910.50,28610549763.47,25541379186.65,27884615384.62,30700897874.87,27251534529.59,30484399895.65,33896600870.77,28420321951.54,19842519685.04,24062500000.00,33384615384.62,44000000000.00,56484375000.00,71803278688.52,93167701863.35,62360446570.97,..,..
MYS,Malaysia,44024178269.52,49133852000.25,59151288902.95,66894450252.19,74480816088.37,88832452511.74,100851784847.52,100168847815.19,72175310308.04,79148423191.08,93789738019.01,92783948532.71,100845527581.23,110202369803.91,124749475249.61,137848284960.42,156523433242.51,186642151162.79,221828443113.77,193092897727.27,237803850458.68,..
PRI,Puerto Rico,30603800576.00,32287000576.00,34630402048.00,36922499072.00,39690600448.00,42647330816.00,45340798976.00,48186998784.00,54086402048.00,57841000448.00,61044899840.00,67897098240.00,..,..,..,..,..,..,..,..,..,..
MYT,Mayotte,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PRK,Korea Dem. Rep.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
TZA,Tanzania,4258741084.82,4956597377.66,4601414688.39,4257702335.04,4510845976.87,5255236879.18,6496158706.99,7683883940.27,9345191090.92,9697835544.34,10185767294.26,10383580744.17,10805631194.52,11659118661.04,12825801580.93,14141919722.50,14331230928.99,16825553272.06,20715098399.47,21368198377.65,23056525009.40,..
BWA,Botswana,3791585992.34,3942012713.53,4145924376.74,4160296985.27,4339516121.66,4773730291.81,4800126339.31,5179680522.00,5190543764.48,5866964491.10,5632391130.01,6033896672.57,6091305296.51,8086707335.42,10048660849.75,10255448712.79,11255175568.25,12376435509.55,13473345712.55,11473685551.29,14857275329.7005,..
KHM,Cambodia,..,..,..,2533727592.03,2791435218.71,3441205624.34,3506695722.70,3443413331.64,3120425502.57,3517242477.23,3654031716.28,3979813387.84,4284028138.35,4658246906.66,5337833255.95,6293046162.11,7274424518.57,8639164917.04,10351829065.60,10457584204.11,11343440017.97,..
NIC,Nicaragua,1009455501.91,1488804123.71,1792800000.00,1756454281.21,2977433035.71,3191142098.27,3320533491.40,3383442173.56,3572495062.42,3742404741.74,3936327817.18,4102656986.86,4026408421.05,4102111946.13,4466767106.09,4872941601.91,5230337507.41,5661593168.50,6372242896.56,6213677112.18,6551182431.26,..
ETH,Ethiopia,12082576935.27,13361446739.17,14098012280.75,8763557094.07,6875170145.31,7605674115.75,8482883272.62,8890826692.79,8069437010.95,7827068144.67,8179533779.17,8168590426.73,7789548644.40,8556184065.69,10053969882.43,12306605472.93,15164485977.36,19552720846.34,26642461516.19,31962250072.00,29717009195.63,..
PRY,Paraguay,5264595869.25,6248792635.07,6445510897.82,6874792180.24,6940688924.30,8065811597.55,8744408795.70,8872095650.40,7915133552.91,7292038448.91,7071265939.08,6445764900.75,5045545608.57,5551643681.11,6949760482.96,7473231061.96,9275210016.39,12222355341.26,16873155276.09,14239629907.37,18474738675.9582,..
HKG,Hong Kong SAR China,76887034659.82,88833354780.59,104002325280.97,119958117890.38,135542184265.01,144229968760.10,158965769143.74,176312232926.11,166908762265.45,163283016435.71,169121013113.14,166593107869.85,163780952482.72,158572061514.75,165886363636.36,177771729813.13,189931598257.77,207087259792.56,215365875584.32,209283263242.09,224457859239.05,..
SAU,Saudi Arabia,116778111979.76,131335915472.95,136304139411.15,132151405582.79,134327104601.47,142457681255.81,157743126866.83,164993858632.32,145772799590.40,160957062621.87,188441864874.67,183012268441.60,188551196398.93,214572800000.00,250338933333.33,315580048570.90,356630440587.45,384891141942.37,476304800000.00,372663466666.67,434666133333.33,..
LBN,Lebanon,2838485397.89,4451497337.42,5545921820.96,7535259914.43,9599127189.45,11718795352.06,13690217120.56,15751867489.44,17247179483.22,17391056436.81,17260364842.45,17649751243.78,19152238805.97,20082918739.64,21801658374.79,21838805970.15,22437147595.36,25056716417.91,30079601990.05,34924709784.41,39154916945.81,..
SVN,Slovenia,17381802758.35,12673485227.13,12522536278.51,12673039187.28,14385505626.21,20814335344.49,21007770977.13,20271553550.47,21592759564.47,22157534732.85,19887999963.71,20389746601.52,23070243206.12,29058085346.60,33724037046.54,35751727924.71,38951918416.45,47314863049.64,54642842411.02,49158599387.33,47762955727.15,..
