code,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AGO,Angola,10335052.00,10653515.00,11002910.00,11371750.00,11742960.00,12105105.00,12452725.00,12792237.00,13138265.00,13511575.00,13926373.00,14388244.00,14890474.00,15419943.00,15957460.00,16489021.00,17010366.00,17525367.00,18037964.00,18555115.00,19081912.00,..
DZA,Algeria,25299182.00,25930560.00,26557969.00,27169903.00,27751086.00,28291591.00,28786855.00,29242917.00,29673694.00,30099010.00,30533827.00,30982214.00,31441848.00,31913462.00,32396048.00,32888449.00,33391954.00,33906605.00,34428028.00,34950168.00,35468208.00,..
EGY,Egypt Arab Rep.,56843275.00,57952386.00,59004372.00,60020423.00,61032081.00,62063810.00,63120498.00,64199588.00,65309201.00,66457136.00,67648419.00,68888032.00,70174632.00,71498433.00,72844998.00,74203215.00,75568453.00,76941572.00,78323298.00,79716203.00,81121077.00,..
BGD,Bangladesh,105256026.00,107768749.00,110225555.00,112645460.00,115059015.00,117486952.00,119928682.00,122370403.00,124803351.00,127214841.00,129592275.00,131944584.00,134266428.00,136514768.00,138633401.00,140587922.00,142353501.00,143956805.00,145478300.00,147030145.00,148692131.00,..
NER,Niger,7788198.00,8036341.00,8299868.00,8578542.00,8871631.00,9178575.00,9499892.00,9835945.00,10185812.00,10548219.00,10922421.00,11308134.00,11706182.00,12118322.00,12546945.00,12993884.00,13460138.00,13945662.00,14450007.00,14972257.00,15511953.00,..
NAM,Namibia,1414830.00,1465201.00,1512524.00,1558055.00,1603865.00,1651352.00,1700975.00,1751872.00,1802579.00,1851034.00,1895839.00,1936399.00,1973408.00,2008342.00,2043339.00,2079951.00,2118653.00,2158984.00,2200422.00,2242078.00,2283289,..
VEN,Venezuela RB,19750000.00,20197000.00,20659000.00,21121000.00,21583000.00,22043000.00,22502000.00,22959000.00,23413000.00,23867000.00,24311000.00,24765000.00,25220000.00,25674000.00,26127000.00,26577000.00,27031000.00,27483000.00,27935000.00,28384000.00,28834000,..
BGR,Bulgaria,8718000.00,8632000.00,8540000.00,8472000.00,8435000.00,8400000.00,8356000.00,8312068.00,8257000.00,8208000.00,8060000.00,7910000.00,7869000.00,7823000.00,7781161.00,7739900.00,7699020.00,7659764.00,7623395.00,7585131.00,7543325.00,..
BOL,Bolivia,6658462.00,6813834.00,6974168.00,7138204.00,7304230.00,7470925.00,7637622.00,7804333.00,7971237.00,8138802.00,8307248.00,8476709.00,8646659.00,8815911.00,8982917.00,9146655.00,9306660.00,9463497.00,9618466.00,9773441.00,9929849.00,..
GHA,Ghana,14793415.00,15216133.00,15655847.00,16105502.00,16554855.00,16996901.00,17429209.00,17855250.00,18281113.00,18715676.00,19165490.00,19632265.00,20114361.00,20610897.00,21119911.00,21639806.00,22170556.00,22712403.00,23264176.00,23824402.00,24391823.00,..
PAK,Pakistan,111844679.00,114970102.00,118010303.00,121029915.00,124121817.00,127346713.00,130737306.00,134255952.00,137808222.00,141261069.00,144522192.00,147557907.00,150407242.00,153139895.00,155860066.00,158645463.00,161513324.00,164445596.00,167442258.00,170494367.00,173593383,..
CPV,Cape Verde,348165.00,355655.00,364727.00,374820.00,385101.00,394946.00,404166.00,412893.00,421203.00,429278.00,437238.00,445096.00,452740.00,460031.00,466784.00,472883.00,478267.00,483023.00,487371.00,491621.00,495999,..
JOR,Jordan,3170000.00,3545000.00,3733000.00,3905930.65,4060839.76,4195000.00,4325045.00,4459121.40,4597400.00,4680500.00,4797500.00,4917500.00,5038000.00,5164000.00,5290000.00,5411500.00,5537000.00,5662000.00,5787000.00,5915000.00,6047000.00,..
LBR,Liberia,2127098.00,2091355.00,2054179.00,2030591.00,2039922.00,2094591.00,2203809.00,2360511.00,2540835.00,2710963.00,2847290.00,2939296.00,2996082.00,3037412.00,3092721.00,3182539.00,3313718.00,3477197.00,3658460.00,3835929.00,3994122.00,..
LBY,Libya,4334459.00,4421885.00,4509970.00,4598629.00,4687106.00,4775009.00,4862665.00,4951076.00,5041233.00,5134324.00,5231189.00,5331311.00,5434293.00,5541062.00,5652797.00,5769709.00,5893738.00,6023053.00,6149620.00,6262667.00,6355112,..
MYS,Malaysia,18208562.00,18707774.00,19204087.00,19701263.00,20205446.00,20720810.00,21247102.00,21781499.00,22322448.00,22867698.00,23414909.00,23964621.00,24515323.00,25060184.00,25590453.00,26100241.00,26586287.00,27051142.00,27502008.00,27949395.00,28401017.00,..
PRI,Puerto Rico,3537000.00,3562110.00,3585176.00,3615497.00,3649237.00,3683103.00,3724655.00,3759430.00,3781101.00,3800081.00,3814413.00,3837768.00,3858272.00,3876637.00,3893931.00,3910722.00,3926744.00,3941235.00,3954553.00,3967288.00,3978702.00,..
MYT,Mayotte,92413.00,97901.00,103795.00,109918.00,116028.00,121949.00,127624.00,133089.00,138384.00,143585.00,148753.00,153887.00,158983.00,164101.00,169315.00,174681.00,180217.00,185922.00,191805.00,197870.00,204114,..
PRK,Korea Dem. Rep.,20143212.00,20466180.00,20804249.00,21145052.00,21471407.00,21770898.00,22038893.00,22278723.00,22495715.00,22698674.00,22894095.00,23083419.00,23264576.00,23436550.00,23597383.00,23745941.00,23882465.00,24008606.00,24126329.00,24238179.00,24346229.00,..
TZA,Tanzania,25478979.00,26331511.00,27230502.00,28152305.00,29064223.00,29943732.00,30783155.00,31592450.00,32388671.00,33197305.00,34038161.00,34917073.00,35832494.00,36788281.00,37786946.00,38831024.00,39923609.00,41068185.00,42267667.00,43524738.00,44841226.00,..
BWA,Botswana,1382371.00,1423570.00,1464924.00,1506037.00,1546414.00,1585637.00,1623704.00,1660538.00,1695587.00,1728179.00,1757925.00,1784449.00,1808103.00,1830127.00,1852243.00,1875673.00,1900905.00,1927540.00,1954822.00,1981576.00,2006945.00,..
KHM,Cambodia,9531928.00,9868226.00,10205755.00,10539239.00,10862069.00,11169233.00,11458858.00,11731187.00,11986128.00,12224414.00,12446949.00,12653684.00,12845222.00,13024171.00,13193961.00,13357574.00,13515884.00,13669857.00,13822644.00,13977903.00,14138255.00,..
NIC,Nicaragua,4120797.00,4219176.00,4323263.00,4430182.00,4535802.00,4637040.00,4733164.00,4824799.00,4911886.00,4994730.00,5073704.00,5148635.00,5219724.00,5288271.00,5356012.00,5424336.00,5493527.00,5563654.00,5635577.00,5710230.00,5788163.00,..
ETH,Ethiopia,48333261.00,49998845.00,51730288.00,53502211.00,55281054.00,57042197.00,58774378.00,60481739.00,62174171.00,63868806.00,65577897.00,67303731.00,69040669.00,70784012.00,72526620.00,74263861.00,75993403.00,77718436.00,79446419.00,81187751.00,82949541.00,..
PRY,Paraguay,4243860.00,4354331.00,4464780.00,4575121.00,4685320.00,4795365.00,4905150.00,5014650.00,5124050.00,5233615.00,5343539.00,5453921.00,5564709.00,5675754.00,5786836.00,5897816.00,6008597.00,6119295.00,6230242.00,6341892.00,6454548.00,..
HKG,Hong Kong SAR China,5704500.00,5752000.00,5800500.00,5901000.00,6035400.00,6156100.00,6435500.00,6489300.00,6543700.00,6606500.00,6665000.00,6714300.00,6744100.00,6730800.00,6783500.00,6813200.00,6857100.00,6925900.00,6977700.00,7003700.00,7067800.00,..
SAU,Saudi Arabia,16139053.00,16669764.00,17189075.00,17679720.00,18117969.00,18491845.00,18786467.00,19020639.00,19256649.00,19578923.00,20045276.00,20681576.00,21463072.00,22334371.00,23213767.00,24041116.00,24799436.00,25504176.00,26166639.00,26809105.00,27448086.00,..
LBN,Lebanon,2948372.00,3026061.00,3130785.00,3249799.00,3364891.00,3462974.00,3539137.00,3597350.00,3644171.00,3690033.00,3742329.00,3802903.00,3868504.00,3935421.00,3998042.00,4052420.00,4097457.00,4134872.00,4166915.00,4196990.00,4227597.00,..
SVN,Slovenia,1998100.00,2001700.00,1996600.00,1966800.00,1988900.00,1990000.00,1991000.00,1985956.00,1982600.00,1985500.00,1989000.00,1992000.00,1994000.00,1995699.88,1996999.91,2000474.00,2006868.00,2018122.00,2021316.00,2039669.00,2052821.00,..
BFA,Burkina Faso,9323996.00,9580035.00,9844931.00,10118634.00,10401025.00,10692138.00,10992170.00,11301608.00,11621159.00,11951701.00,12294012.00,12648474.00,13015435.00,13395599.00,13789736.00,14198463.00,14622202.00,15061127.00,15515258.00,15984479.00,16468714.00,..
