code,name,tmin,tmax,pmin,pmax
AGO,Angola,14.8,28.3,2.1,2.7
DZA,Algeria,15.4,29.6,2.4,3.0
EGY,Egypt Arab Rep.,14.8,29.4,1.9,2.4
BGD,Bangladesh,20.4,29.6,1.7,2.4
LIE,Liechtenstein,2.2,9.1,1.7,2.8
SOM,Somalia,21.2,32.9,1.9,2.2
NAM,Namibia,12.7,27.2,2.2,2.9
BGR,Bulgaria,5.6,15.5,1.9,3.1
BOL,Bolivia,15.2,27.9,2.1,3.0
GHA,Ghana,22.1,32.3,1.8,2.4
PAK,Pakistan,13.2,27.2,2.4,3.4
CPV,Cape Verde,19.6,27.0,1.4,1.8
JOR,Jordan,11.2,25.4,2.1,2.9
LBR,Liberia,20.0,30.6,1.7,2.2
LBY,Libya,14.4,29.2,2.0,2.4
MYS,Malaysia,21.2,29.6,1.6,1.9
PRI,Puerto Rico,21.2,29.3,1.4,1.8
PRK,Korea Dem. Rep.,0.3,11.1,2.1,2.7
TZA,Tanzania,16.7,28.0,1.9,2.2
BWA,Botswana,13.6,29.4,2.5,3.3
KHM,Cambodia,22.3,31.3,1.6,2.0
PRY,Paraguay,17.7,29.4,1.9,2.6
HKG,Hong Kong SAR China,19.3,26.0,1.4,1.9
SAU,Saudi Arabia,18.2,31.1,2.3,2.9
LBN,Lebanon,10.7,22.1,2.0,2.9
SVN,Slovenia,4.2,13.6,2.0,3.0
BFA,Burkina Faso,21.5,35.0,2.2,2.8
CHE,Switzerland,2.0,9.0,1.7,2.8
MRT,Mauritania,20.2,35.1,2.4,3.1
HRV,Croatia,6.2,15.6,1.9,2.9
CHL,Chile,3.5,13.4,1.2,1.9
CHN,China,0.9,13.0,2.1,3.0
KNA,St. Kitts and Nevis,20.8,28.2,1.3,1.8
JAM,Jamaica,20.6,29.3,1.3,1.8
GIB,Gibraltar,13.3,21.7,1.8,2.7
DJI,Djibouti,22.8,33.2,2.0,2.7
GIN,Guinea,19.6,31.8,2.0,2.6
FIN,Finland,-2.4,5.8,2.4,3.7
URY,Uruguay,12.2,22.9,1.4,1.8
THA,Thailand,21.2,31.4,1.7,2.1
SYC,Seychelles,24.5,29.8,1.5,1.8
NPL,Nepal,1.5,14.7,2.2,3.4
MAR,Morocco,11.1,23.1,2.1,3.0
YEM,Yemen Rep.,18.6,29.1,2.0,2.6
PHL,Philippines,21.6,30.1,1.4,1.8
ZAF,South Africa,10.6,24.9,1.9,2.7
KIR,Kiribati,25.3,31.1,1.6,2.0
GAB,Gabon,20.9,29.2,1.8,2.2
VIR,Virgin Islands (U.S.),21.5,29.7,1.3,1.7
SYR,Syrian Arab Republic,10.8,24.7,2.2,3.1
MAC,Macao SAR China,19.5,26.1,1.4,1.9
NIC,Nicaragua,20.3,29.5,1.6,2.4
KAZ,Kazakhstan,0.6,12.2,2.2,3.1
COK,Cook Islands,21.6,27.6,1.3,1.7
TCA,Turks and Caicos Islands,24.9,31.1,1.4,1.7
ZAR,Congo Dem. Rep.,18.4,29.6,2.1,2.4
NIU,Niue,21.6,27.3,1.3,1.7
IRL,Ireland,5.9,12.7,0.9,1.4
DMA,Dominica,18.9,25.8,1.3,1.7
