id,N,EN,Co,Cu
1,1001,E1001,1,1
2,1100,E1100,1,2
3,1101,E1101,3,5
4,1102,E1102,1,6
5,1103,E1103,1,7
6,1104,E1104,1,8
7,1105,E1105,1,9
8,1200,E1200,1,10
9,1201,E1201,1,11
10,1202,E1202,1,12
11,1203,E1203,1,13
12,1204,E1204,1,14
13,1205,E1205,1,15
14,1400,E1400,1,16
15,1401,E1401,1,17
16,1402,E1402,1,18
17,1403,E1403,1,19
18,1404,E1404,1,20
19,1405,E1405,1,21
20,1410,E1410,1,22
21,1412,E1412,1,23
22,1413,E1413,1,24
23,1414,E1414,1,25
24,1420,E1420,1,26
25,1422,E1422,1,27
26,1440,E1440,1,28
27,1442,E1442,1,29
28,1450,E1450,1,30
29,1451,E1451,1,31
30,1452,E1452,1,32
31,1503,E1503,1,33
32,1505,E1505,1,34
33,1517,E1517,1,35
34,1518,E1518,1,36
35,1519,E1519,1,37
36,1520,E1520,1,38
37,1521,E1521,1,39
