id,N,EN,Co,Cu
1,300,E300,1,1
2,301,E301,1,2
3,302,E302,1,3
4,303,E303,1,4
5,304,E304,1,5
6,306,E306,1,6
7,307,E307,1,7
8,308,E308,1,8
9,309,E309,1,9
10,310,E310,1,10
11,311,E311,1,11
12,312,E312,1,12
13,314,E314,1,13
14,315,E315,1,14
15,316,E316,1,15
16,319,E319,1,16
17,320,E320,1,17
18,321,E321,1,18
19,322,E322,2,20
20,325,E325,1,21
21,326,E326,1,22
22,327,E327,1,23
23,328,E328,1,24
24,329,E329,1,25
25,330,E330,1,26
26,331,E331,3,29
27,332,E332,3,32
28,333,E333,2,34
29,334,E334,1,35
30,335,E335,1,36
31,336,E336,1,37
32,337,E337,1,38
33,338,E338,1,39
34,339,E339,1,40
35,340,E340,1,41
36,341,E341,1,42
37,343,E343,1,43
38,350,E350,3,46
39,351,E351,3,49
40,352,E352,2,51
41,353,E353,1,52
42,354,E354,1,53
43,355,E355,1,54
44,356,E356,1,55
45,357,E357,1,56
46,363,E363,1,57
47,365,E365,1,58
48,380,E380,1,59
49,381,E381,1,60
50,384,E384,1,61
51,385,E385,1,62
52,392,E392,1,63
