id,N,EN,Co,Cu
1,100,E100,2,2
2,101,E101,1,3
3,102,E102,1,4
4,104,E104,1,5
5,110,E110,1,6
6,120,E120,1,7
7,122,E122,1,8
8,123,E123,1,9
9,124,E124,1,10
10,127,E127,1,11
11,128,E128,1,12
12,129,E129,1,13
13,131,E131,1,14
14,132,E132,1,15
15,133,E133,1,16
16,140,E140,1,17
17,141,E141,1,18
18,142,E142,1,19
19,143,E143,1,20
20,150,E150,4,24
21,151,E151,1,25
22,153,E153,1,26
23,155,E155,1,27
24,160,E160,11,38
25,161,E161,4,42
26,162,E162,1,43
27,163,E163,2,45
28,170,E170,2,47
29,171,E171,1,48
30,172,E172,1,49
31,173,E173,1,50
32,174,E174,1,51
33,175,E175,1,52
34,180,E180,1,53
35,181,E181,1,54
