id,N,EN,Co,Cu
1,900,E900,2,2
2,901,E901,1,3
3,902,E902,1,4
4,903,E903,1,5
5,904,E904,1,6
6,905,E905,4,10
7,907,E907,1,11
8,912,E912,1,12
9,914,E914,1,13
10,920,E920,1,14
11,925,E925,1,15
12,926,E926,1,16
13,927,E927,2,18
14,928,E928,1,19
15,938,E938,1,20
16,939,E939,1,21
17,941,E941,1,22
18,942,E942,1,23
19,943,E943,2,25
20,944,E944,1,26
21,948,E948,1,27
22,949,E949,1,28
23,950,E950,1,29
24,951,E951,1,30
25,952,E952,1,31
26,953,E953,1,32
27,954,E954,1,33
28,955,E955,1,34
29,956,E956,1,35
30,957,E957,1,36
31,959,E959,1,37
32,960,E960,1,38
33,961,E961,1,39
34,962,E962,1,40
35,964,E964,1,41
36,965,E965,3,44
37,966,E966,1,45
38,967,E967,1,46
39,968,E968,1,47
40,999,E999,1,48
