id,N,EN,Co,Cu
1,200,E200,1,1
2,202,E202,1,2
3,203,E203,1,3
4,210,E210,1,4
5,211,E211,1,5
6,212,E212,1,6
7,213,E213,1,7
8,214,E214,1,8
9,215,E215,1,9
10,218,E218,1,10
11,219,E219,1,11
12,220,E220,1,12
13,221,E221,1,13
14,222,E222,1,14
15,223,E223,1,15
16,224,E224,1,16
17,226,E226,1,17
18,227,E227,1,18
19,228,E228,1,19
20,230,E230,1,20
21,234,E234,1,21
22,235,E235,1,22
23,236,E236,1,23
24,239,E239,1,24
25,242,E242,1,25
26,243,E243,1,26
27,249,E249,1,27
28,250,E250,1,28
29,251,E251,1,29
30,252,E252,1,30
31,260,E260,1,31
32,261,E261,1,32
33,262,E262,3,35
34,263,E263,1,36
35,264,E264,1,37
36,270,E270,1,38
37,280,E280,1,39
38,281,E281,1,40
39,282,E282,1,41
40,283,E283,1,42
41,284,E284,1,43
42,285,E285,1,44
43,290,E290,1,45
44,296,E296,1,46
45,297,E297,1,47
