id,N,EN,Co,Cu
1,400,E400,1,1
2,401,E401,1,2
3,402,E402,1,3
4,403,E403,1,4
5,404,E404,1,5
6,405,E405,1,6
7,406,E406,1,7
8,407,E407,2,9
9,410,E410,1,10
10,412,E412,1,11
11,413,E413,1,12
12,414,E414,1,13
13,415,E415,1,14
14,416,E416,1,15
15,417,E417,1,16
16,418,E418,1,17
17,420,E420,3,20
18,421,E421,1,21
19,422,E422,1,22
20,424,E424,1,23
21,425,E425,1,24
22,426,E426,1,25
23,427,E427,1,26
24,431,E431,1,27
25,432,E432,1,28
26,433,E433,1,29
27,434,E434,1,30
28,435,E435,1,31
29,436,E436,1,32
30,440,E440,1,33
31,442,E442,1,34
32,444,E444,1,35
33,445,E445,2,37
34,450,E450,1,38
35,451,E451,1,39
36,452,E452,1,40
37,457,E457,1,41
38,458,E458,1,42
39,459,E459,1,43
40,460,E460,3,46
41,461,E461,1,47
42,462,E462,1,48
43,463,E463,1,49
44,464,E464,1,50
45,465,E465,1,51
46,466,E466,1,52
47,467,E467,1,53
48,468,E468,1,54
49,469,E469,1,55
50,470,E470,4,59
51,471,E471,1,60
52,472,E472,6,66
53,473,E473,2,68
54,474,E474,1,69
55,475,E475,1,70
56,476,E476,1,71
57,477,E477,1,72
58,479,E479,2,74
59,480,E480,1,75
60,481,E481,1,76
61,482,E482,1,77
62,483,E483,1,78
63,484,E484,1,79
64,491,E491,1,80
65,492,E492,1,81
66,493,E493,1,82
67,494,E494,1,83
68,495,E495,1,84
