id,e,code,number,subcode,since,sources,name,synonym
1,E400,400,400,,None,[1][2],Alginic acid,Alginic acid
2,E401,401,401,,None,[1][2],Sodium alginate,Sodium alginate
3,E402,402,402,,None,[1][2],Potassium alginate,Potassium alginate
4,E403,403,403,,None,[1][2],Ammonium alginate,Ammonium alginate
5,E404,404,404,,None,[1][2],Calcium alginate,Calcium alginate
6,E405,405,405,,None,[1][2],Propylene glycol alginate,Propylene glycol alginate
7,E406,406,406,,None,[1][2],Agar,Layor Carang*
8,E407,407,407,,None,[1][2],Carrageenan,Irish moss gelose (from Chondrus spp.)*
9,E407,407a,407,a,None,[1][2],Processed eucheuma seaweed (PES),semi-refined carrageenan*
10,E410,410,410,,None,[1][2],Carob bean gum,Locust bean gum*
11,E412,412,412,,None,[1][2],Guar gum,Gum Cyamopsis*
12,E413,413,413,,None,[1][2],Tragacanth gum,Tragacanth gum
13,E414,414,414,,None,[1][2],Gum arabic (Acacia gum),Gum arabic (Acacia seyal)*
14,E415,415,415,,None,[1][2],Xanthan gum,Xanthan gum
15,E416,416,416,,None,[1][2],Karaya gum,Sterculia*
16,E417,417,417,,None,[1][2],Tara gum,Tara gum
17,E418,418,418,,None,[1][2],Gellan gum,Gellan gum
18,E420,420(i),420,(i),None,[1],Sorbitol,Sorbol*
19,E420,420(ii),420,(ii),None,[1],Sorbitol syrup,Sorbitol syrup
20,E420,420,420,,None,[2],Sorbitols,
21,E421,421,421,,None,[1][2],Mannitol,D-Mannitol*
22,E422,422,422,,None,[1][2],Glycerol,Glycerol
23,E424,424,424,,None,[1],Curdlan,Beta-1;3-glucan*
24,E425,425,425,,None,[1][2],Konjac flour,Konnyaleu*
25,E426,426,426,,None,[2],Soybean hemicellulose,
26,E427,427,427,,None,[1][2],Cassia gum,Cassia gum
27,E431,431,431,,None,[2],Polyoxyethylene  stearate,40
28,E432,432,432,,None,[2],Polyoxyethylene sorbitan monolaurate ,polysorbate 20
29,E433,433,433,,None,[2],Polyoxyethylene sorbitan monooleate ,polysorbate 80
30,E434,434,434,,None,[2],Polyoxyethylene sorbitan monopalmitate ,polysorbate 40
31,E435,435,435,,None,[2],Polyoxyethylene sorbitan monostearate ,polysorbate 60
