id,N,EN,Co,Cu
1,100,E100,2,2
2,101,E101,1,3
3,102,E102,1,4
4,104,E104,1,5
5,110,E110,1,6
6,120,E120,1,7
7,122,E122,1,8
8,123,E123,1,9
9,124,E124,1,10
10,127,E127,1,11
11,128,E128,1,12
12,129,E129,1,13
13,131,E131,1,14
14,132,E132,1,15
15,133,E133,1,16
16,140,E140,1,17
17,141,E141,1,18
18,142,E142,1,19
19,143,E143,1,20
20,150,E150,4,24
21,151,E151,1,25
22,153,E153,1,26
23,155,E155,1,27
24,160,E160,11,38
25,161,E161,4,42
26,162,E162,1,43
27,163,E163,2,45
28,170,E170,2,47
29,171,E171,1,48
30,172,E172,1,49
31,173,E173,1,50
32,174,E174,1,51
33,175,E175,1,52
34,180,E180,1,53
35,181,E181,1,54
36,200,E200,1,55
37,202,E202,1,56
38,203,E203,1,57
39,210,E210,1,58
40,211,E211,1,59
41,212,E212,1,60
42,213,E213,1,61
43,214,E214,1,62
44,215,E215,1,63
45,218,E218,1,64
46,219,E219,1,65
47,220,E220,1,66
48,221,E221,1,67
49,222,E222,1,68
50,223,E223,1,69
51,224,E224,1,70
52,226,E226,1,71
53,227,E227,1,72
54,228,E228,1,73
55,230,E230,1,74
56,234,E234,1,75
57,235,E235,1,76
58,236,E236,1,77
59,239,E239,1,78
60,242,E242,1,79
61,243,E243,1,80
62,249,E249,1,81
63,250,E250,1,82
64,251,E251,1,83
65,252,E252,1,84
66,260,E260,1,85
67,261,E261,1,86
68,262,E262,3,89
69,263,E263,1,90
70,264,E264,1,91
71,270,E270,1,92
72,280,E280,1,93
73,281,E281,1,94
74,282,E282,1,95
75,283,E283,1,96
76,284,E284,1,97
77,285,E285,1,98
78,290,E290,1,99
79,296,E296,1,100
80,297,E297,1,101
81,300,E300,1,102
82,301,E301,1,103
83,302,E302,1,104
84,303,E303,1,105
85,304,E304,1,106
86,306,E306,1,107
87,307,E307,1,108
88,308,E308,1,109
89,309,E309,1,110
90,310,E310,1,111
91,311,E311,1,112
92,312,E312,1,113
93,314,E314,1,114
94,315,E315,1,115
95,316,E316,1,116
96,319,E319,1,117
97,320,E320,1,118
98,321,E321,1,119
99,322,E322,2,121
100,325,E325,1,122
101,326,E326,1,123
102,327,E327,1,124
103,328,E328,1,125
104,329,E329,1,126
105,330,E330,1,127
106,331,E331,3,130
107,332,E332,3,133
108,333,E333,2,135
109,334,E334,1,136
110,335,E335,1,137
111,336,E336,1,138
112,337,E337,1,139
113,338,E338,1,140
114,339,E339,1,141
115,340,E340,1,142
116,341,E341,1,143
117,343,E343,1,144
118,350,E350,3,147
119,351,E351,3,150
120,352,E352,2,152
121,353,E353,1,153
122,354,E354,1,154
123,355,E355,1,155
124,356,E356,1,156
125,357,E357,1,157
126,363,E363,1,158
127,365,E365,1,159
128,380,E380,1,160
129,381,E381,1,161
130,384,E384,1,162
131,385,E385,1,163
132,392,E392,1,164
133,400,E400,1,165
134,401,E401,1,166
135,402,E402,1,167
136,403,E403,1,168
137,404,E404,1,169
138,405,E405,1,170
139,406,E406,1,171
140,407,E407,2,173
141,410,E410,1,174
142,412,E412,1,175
143,413,E413,1,176
144,414,E414,1,177
145,415,E415,1,178
146,416,E416,1,179
147,417,E417,1,180
148,418,E418,1,181
149,420,E420,3,184
150,421,E421,1,185
151,422,E422,1,186
152,424,E424,1,187
153,425,E425,1,188
154,426,E426,1,189
155,427,E427,1,190
156,431,E431,1,191
157,432,E432,1,192
158,433,E433,1,193
159,434,E434,1,194
160,435,E435,1,195
161,436,E436,1,196
162,440,E440,1,197
163,442,E442,1,198
164,444,E444,1,199
165,445,E445,2,201
166,450,E450,1,202
167,451,E451,1,203
168,452,E452,1,204
169,457,E457,1,205
170,458,E458,1,206
171,459,E459,1,207
172,460,E460,3,210
173,461,E461,1,211
174,462,E462,1,212
175,463,E463,1,213
176,464,E464,1,214
177,465,E465,1,215
178,466,E466,1,216
179,467,E467,1,217
180,468,E468,1,218
181,469,E469,1,219
182,470,E470,4,223
183,471,E471,1,224
184,472,E472,6,230
185,473,E473,2,232
186,474,E474,1,233
187,475,E475,1,234
188,476,E476,1,235
189,477,E477,1,236
190,479,E479,2,238
191,480,E480,1,239
192,481,E481,1,240
193,482,E482,1,241
194,483,E483,1,242
195,484,E484,1,243
196,491,E491,1,244
197,492,E492,1,245
198,493,E493,1,246
199,494,E494,1,247
200,495,E495,1,248
201,500,E500,4,252
202,501,E501,3,255
203,503,E503,3,258
204,504,E504,3,261
205,507,E507,1,262
206,508,E508,1,263
207,509,E509,1,264
208,510,E510,1,265
209,511,E511,1,266
210,512,E512,1,267
211,513,E513,1,268
212,514,E514,3,271
213,515,E515,3,274
214,516,E516,1,275
215,517,E517,1,276
216,518,E518,1,277
217,520,E520,1,278
218,521,E521,1,279
219,522,E522,1,280
220,523,E523,1,281
221,524,E524,1,282
222,525,E525,1,283
223,526,E526,1,284
224,527,E527,1,285
225,528,E528,1,286
226,529,E529,1,287
227,530,E530,1,288
228,535,E535,1,289
229,536,E536,1,290
230,538,E538,1,291
231,541,E541,1,292
232,551,E551,1,293
233,552,E552,1,294
234,553,E553,4,298
235,554,E554,1,299
236,555,E555,1,300
237,556,E556,1,301
