id,e,code,number,subcode,since,sources,name,synonym
1,E100,100,100,,None,[2],Curcumin,
2,E100,100(i),100,(i),None,[1],Curcumin,Turmeric yellow*
3,E101,101,101,,None,[2],Riboflavins,
4,E102,102,102,,None,[1][2],Tartrazine,Tartrazine
5,E104,104,104,,None,[1][2],Quinoline yellow,Quinoline yellow
6,E110,110,110,,None,[1][2],Sunset yellow FCF,Sunset yellow FCF
7,E120,120,120,,None,[1][2],Carmines,Cochineal carmine*
8,E122,122,122,,None,[1][2],Azorubine (Carmoisine),CI Food Red 3*
9,E123,123,123,,None,[1][2],Amaranth,Naphtol Rot S.*
10,E124,124,124,,None,[1][2],Ponceau 4R (Cochineal red A),Ponceau 4R (Cochineal red A)
11,E127,127,127,,None,[1][2],Erythrosine,FD&C Red No. 3*
12,E128,128,128,,None,[1],Red 2G,Red 2G
13,E129,129,129,,None,[1][2],Allura red AC,FD&C Red No.40*
14,E131,131,131,,None,[2],Patent Blue V,
15,E132,132,132,,None,[1][2],Indigotine (Indigo carmine),Indigotine (Indigo carmine)
16,E133,133,133,,None,[1][2],Brilliant blue FCF,FD&C Blue No.1*
17,E140,140,140,,None,[1][2],Chlorophylls,Magnesium phaeophytin*
18,E141,141,141,,None,[2],Copper complexes of chlorophylls; chlorophyllins,
19,E142,142,142,,None,[2],Green S,
20,E143,143,143,,None,[1],Fast green FCF,FD&C Green No. 3*
21,E150,150b,150,b,None,[1][2],Caramel II - sulfite caramel,Caustic sulfite caramel*
22,E150,150c,150,c,None,[1][2],Caramel III - ammonia caramel,Caramel III - ammonia caramel
23,E150,150a,150,a,None,[1][2],Caramel I - plain caramel,Plain caramel*
24,E150,150d,150,d,None,[1][2],Caramel IV - sulfite ammonia caramel,Sulfite ammonia caramel*
25,E151,151,151,,None,[1][2],Brilliant black (Black PN),CI Food Black 1*
26,E153,153,153,,None,[2],Vegetable carbon,
27,E155,155,155,,None,[1][2],Brown HT,CI Food Brown 3*
28,E160,160d(i),160,d(i),None,[1],Lycopene; synthetic,Lycopene; synthetic
29,E160,160b(ii),160,b(ii),None,[1],Annatto extracts; norbixin-based,Annatto extracts; norbixin-based
30,E160,160b(i),160,b(i),None,[1],Annatto extracts; bixin-based,Annatto extracts; bixin-based
31,E160,160d(iii),160,d(iii),None,[1],Lycopene; Blakeslea trispora,Lycopene; Blakeslea trispora
32,E160,160a,160,a,None,[2],Carotenes,
33,E160,160c,160,c,None,[2],Paprika extract; capsanthin; capsorubin,
34,E160,160b,160,b,None,[2],Annatto; Bixin; Norbixin,
35,E160,160e,160,e,None,[2],Beta-apo-8'-carotenal ,C 30
36,E160,160d,160,d,None,[2],Lycopene,
37,E160,160d(ii),160,d(ii),None,[1],Lycopene; tomato,Lycopene; tomato
38,E160,160a(ii),160,a(ii),None,[1],beta-Carotenes; vegetable,Natural beta-carotene*
39,E161,161h(i),161,h(i),None,[1],Zeaxanthin; synthetic,Zeaxanthin; synthetic
40,E161,161b(i),161,b(i),None,[1],Lutein from Tagetes erecta,Lutein from Tagetes erecta
41,E161,161g,161,g,None,[1][2],Canthaxanthin,CI Food Orange 8*
42,E161,161b,161,b,None,[2],Lutein,
43,E162,162,162,,None,[1][2],Beet red,Beetroot Red*
44,E163,163(ii),163,(ii),None,[1],Grape skin extract,Grape skin extract
45,E163,163,163,,None,[2],Anthocyanins,
46,E170,170(i),170,(i),None,[1],Calcium carbonate,Chalk*
47,E170,170,170,,None,[2],Calcium carbonate,
48,E171,171,171,,None,[1][2],Titanium dioxide,Titanium dioxide
49,E172,172,172,,None,[2],Iron oxides and hydroxides,
50,E173,173,173,,None,[2],Aluminium,
51,E174,174,174,,None,[2],Silver,
52,E175,175,175,,None,[2],Gold,
53,E180,180,180,,None,[2],Litholrubine BK,
54,E181,181,181,,None,[1],Tannic acid (Tannins),Tannins (food grade)*
55,E200,200,200,,None,[2],Sorbic acid,
56,E202,202,202,,None,[2],Potassium sorbate,
57,E203,203,203,,None,[2],Calcium sorbate,
58,E210,210,210,,None,[2],Benzoic acid,
59,E211,211,211,,None,[2],Sodium benzoate,
60,E212,212,212,,None,[2],Potassium benzoate,
61,E213,213,213,,None,[2],Calcium benzoate,
62,E214,214,214,,None,[2],Ethyl-p-hydroxybenzoate,
63,E215,215,215,,None,[2],Sodium ethyl p-hydroxybenzoate,
64,E218,218,218,,None,[2],Methyl p-hydroxybenzoate,
65,E219,219,219,,None,[2],Sodium methyl p-hydroxybenzoate,
66,E220,220,220,,None,[2],Sulphur dioxide,
67,E221,221,221,,None,[2],Sodium sulphite,
68,E222,222,222,,None,[2],Sodium hydrogen sulphite,
69,E223,223,223,,None,[2],Sodium metabisulphite,
70,E224,224,224,,None,[2],Potassium metabisulphite,
71,E226,226,226,,None,[2],Calcium sulphite,
72,E227,227,227,,None,[2],Calcium hydrogen sulphite,
73,E228,228,228,,None,[2],Potassium hydrogen sulphite,
74,E230,230,230,,None,[1],Diphenyl,Diphenyl
75,E234,234,234,,None,[1][2],Nisin,Nisin
76,E235,235,235,,None,[1][2],Natamycin (Pimaricin),Natamycin (Pimaricin)
77,E236,236,236,,None,[1],Formic acid,Methanoic Acid*
78,E239,239,239,,None,[1][2],Hexamethylene tetramine,Methenamine*
79,E242,242,242,,None,[1][2],Dimethyl dicarbonate,DMDC*
80,E243,243,243,,None,[1],Lauric arginate ethyl ester,Lauric arginate ethyl ester
81,E249,249,249,,None,[2],Potassium nitrite,
82,E250,250,250,,None,[2],Sodium nitrite,
83,E251,251,251,,None,[2],Sodium nitrate,
84,E252,252,252,,None,[2],Potassium nitrate,
85,E260,260,260,,None,[1][2],Acetic acid; glacial,Acetic acid; glacial
86,E261,261,261,,None,[1][2],Potassium acetates,Potassium acetates
87,E262,262(ii),262,(ii),None,[1],Sodium diacetate,Sodium diacetate
88,E262,262(i),262,(i),None,[1],Sodium acetate,Sodium acetate
89,E262,262,262,,None,[2],Sodium acetates,
90,E263,263,263,,None,[1][2],Calcium acetate,Calcium acetate
91,E264,264,264,,None,[1],Ammonium acetate,Ammonium acetate
92,E270,270,270,,None,[1][2],Lactic acid; L-; D- and DL-,Lactic acid; L-; D- and DL-
93,E280,280,280,,None,[1][2],Propionic acid,Propionic acid
94,E281,281,281,,None,[1][2],Sodium propionate,Sodium propionate
95,E282,282,282,,None,[1][2],Calcium propionate,Calcium propionate
96,E283,283,283,,None,[1][2],Potassium propionate,Potassium propionate
97,E284,284,284,,None,[2],Boric acid,
98,E285,285,285,,None,[2],Sodium tetraborate ,borax
99,E290,290,290,,None,[1][2],Carbon dioxide,Dry Ice (Solid Form)*
100,E296,296,296,,None,[1][2],Malic acid; DL-,Pomalous Acid*
101,E297,297,297,,None,[1][2],Fumaric acid,Fumaric acid
102,E300,300,300,,None,[1][2],Ascorbic acid; L-,Vitamin C*
103,E301,301,301,,None,[1][2],Sodium ascorbate,Sodium ascorbate
104,E302,302,302,,None,[1][2],Calcium ascorbate,Calcium ascorbate
105,E303,303,303,,None,[1],Potassium ascorbate,Potassium ascorbate
106,E304,304,304,,None,[2],Fatty acid esters of ascorbic acid,
107,E306,306,306,,None,[2],Tocopherol-rich extract,
108,E307,307,307,,None,[2],Alpha-tocopherol,
109,E308,308,308,,None,[2],Gamma-tocopherol,
110,E309,309,309,,None,[2],Delta-tocopherol,
111,E310,310,310,,None,[1][2],Propyl gallate,Propyl Gallate*
112,E311,311,311,,None,[2],Octyl gallate,
113,E312,312,312,,None,[2],Dodecyl gallate,
114,E314,314,314,,None,[1],Guaiac resin,Gum Guaiac*
115,E315,315,315,,None,[1][2],Erythorbic Acid (Isoascorbic acid),Isoascorbic acid*
116,E316,316,316,,None,[1][2],Sodium erythorbate (Sodium isoascorbate),Sodium Isoascorbate*
