id,E,N
1,100,2
2,101,1
3,102,1
4,104,1
5,110,1
6,120,1
7,122,1
8,123,1
9,124,1
10,127,1
11,128,1
12,129,1
13,131,1
14,132,1
15,133,1
16,140,1
17,141,1
18,142,1
19,143,1
20,150,4
21,151,1
22,153,1
23,155,1
24,160,11
25,161,4
26,162,1
27,163,2
28,170,2
29,171,1
30,172,1
31,173,1
32,174,1
33,175,1
34,180,1
35,181,1
36,200,1
37,202,1
38,203,1
39,210,1
40,211,1
41,212,1
42,213,1
43,214,1
44,215,1
45,218,1
46,219,1
47,220,1
48,221,1
49,222,1
50,223,1
51,224,1
52,226,1
53,227,1
54,228,1
55,230,1
56,234,1
57,235,1
58,236,1
59,239,1
60,242,1
61,243,1
62,249,1
63,250,1
64,251,1
65,252,1
66,260,1
67,261,1
68,262,3
69,263,1
70,264,1
71,270,1
72,280,1
73,281,1
74,282,1
75,283,1
76,284,1
77,285,1
78,290,1
79,296,1
80,297,1
81,300,1
82,301,1
83,302,1
84,303,1
85,304,1
86,306,1
87,307,1
88,308,1
89,309,1
90,310,1
91,311,1
92,312,1
93,314,1
94,315,1
95,316,1
96,319,1
97,320,1
98,321,1
99,322,2
100,325,1
101,326,1
102,327,1
103,328,1
104,329,1
105,330,1
106,331,3
107,332,3
108,333,2
109,334,1
110,335,1
111,336,1
112,337,1
113,338,1
114,339,1
115,340,1
116,341,1
117,343,1
118,350,3
119,351,3
120,352,2
121,353,1
122,354,1
123,355,1
124,356,1
125,357,1
126,363,1
127,365,1
128,380,1
129,381,1
130,384,1
131,385,1
132,392,1
133,400,1
134,401,1
135,402,1
136,403,1
137,404,1
138,405,1
139,406,1
140,407,2
141,410,1
142,412,1
143,413,1
144,414,1
145,415,1
146,416,1
147,417,1
148,418,1
149,420,3
150,421,1
151,422,1
152,424,1
153,425,1
154,426,1
155,427,1
156,431,1
157,432,1
158,433,1
159,434,1
160,435,1
161,436,1
162,440,1
163,442,1
164,444,1
165,445,2
166,450,1
167,451,1
168,452,1
169,457,1
170,458,1
171,459,1
172,460,3
173,461,1
174,462,1
175,463,1
176,464,1
177,465,1
178,466,1
179,467,1
180,468,1
181,469,1
182,470,4
183,471,1
184,472,6
185,473,2
186,474,1
187,475,1
188,476,1
189,477,1
190,479,2
191,480,1
192,481,1
193,482,1
194,483,1
195,484,1
196,491,1
197,492,1
198,493,1
199,494,1
200,495,1
201,500,4
202,501,3
203,503,3
204,504,3
205,507,1
206,508,1
207,509,1
208,510,1
209,511,1
210,512,1
211,513,1
212,514,3
213,515,3
214,516,1
215,517,1
216,518,1
217,520,1
218,521,1
219,522,1
220,523,1
221,524,1
222,525,1
223,526,1
224,527,1
225,528,1
226,529,1
227,530,1
228,535,1
229,536,1
230,538,1
231,541,1
232,551,1
233,552,1
234,553,4
235,554,1
236,555,1
237,556,1
238,558,1
239,559,1
240,570,1
241,574,1
242,575,1
243,576,1
244,577,1
245,578,1
246,579,1
247,580,1
248,585,1
249,586,1
250,620,1
251,621,1
252,622,1
253,623,1
254,624,1
255,625,1
256,626,1
257,627,1
258,628,1
259,629,1
260,630,1
261,631,1
262,632,1
263,633,1
264,634,1
265,635,1
266,636,1
267,637,1
268,640,1
269,650,1
270,900,2
271,901,1
272,902,1
273,903,1
274,904,1
275,905,4
276,907,1
277,912,1
278,914,1
279,920,1
280,925,1
281,926,1
282,927,2
283,928,1
284,938,1
285,939,1
286,941,1
287,942,1
288,943,2
289,944,1
290,948,1
291,949,1
292,950,1
293,951,1
294,952,1
295,953,1
296,954,1
297,955,1
298,956,1
299,957,1
300,959,1
301,960,1
302,961,1
303,962,1
304,964,1
305,965,3
306,966,1
307,967,1
308,968,1
309,999,1
310,1001,1
311,1100,1
312,1101,3
313,1102,1
314,1103,1
315,1104,1
316,1105,1
317,1200,1
318,1201,1
319,1202,1
320,1203,1
321,1204,1
322,1205,1
323,1400,1
324,1401,1
325,1402,1
326,1403,1
327,1404,1
328,1405,1
329,1410,1
330,1412,1
331,1413,1
332,1414,1
333,1420,1
334,1422,1
335,1440,1
336,1442,1
337,1450,1
338,1451,1
339,1452,1
340,1503,1
341,1505,1
342,1517,1
343,1518,1
344,1519,1
345,1520,1
346,1521,1
