id,N,EN,Co,Cu
1,500,E500,4,4
2,501,E501,3,7
3,503,E503,3,10
4,504,E504,3,13
5,507,E507,1,14
6,508,E508,1,15
7,509,E509,1,16
8,510,E510,1,17
9,511,E511,1,18
10,512,E512,1,19
11,513,E513,1,20
12,514,E514,3,23
13,515,E515,3,26
14,516,E516,1,27
15,517,E517,1,28
16,518,E518,1,29
17,520,E520,1,30
18,521,E521,1,31
19,522,E522,1,32
20,523,E523,1,33
21,524,E524,1,34
22,525,E525,1,35
23,526,E526,1,36
24,527,E527,1,37
25,528,E528,1,38
26,529,E529,1,39
27,530,E530,1,40
28,535,E535,1,41
29,536,E536,1,42
30,538,E538,1,43
31,541,E541,1,44
32,551,E551,1,45
33,552,E552,1,46
34,553,E553,4,50
35,554,E554,1,51
36,555,E555,1,52
37,556,E556,1,53
38,558,E558,1,54
39,559,E559,1,55
40,570,E570,1,56
41,574,E574,1,57
42,575,E575,1,58
43,576,E576,1,59
44,577,E577,1,60
45,578,E578,1,61
46,579,E579,1,62
47,580,E580,1,63
48,585,E585,1,64
49,586,E586,1,65
