word,d,r,delta,total,counts,ratio1,ratio2
Romney,92,109,-17,201,92 - 109,0.844037,1.184783,Eurostile,Eurostile
Business,35,86,-51,121,35 - 86,0.406977,2.457143,Eurostile,EurostileBold
Government,13,66,-53,79,13 - 66,0.196970,5.076923,Eurostile,EurostileBold
Leadership,32,53,-21,85,32 - 53,0.603774,1.656250,Eurostile,Eurostile
Success,20,44,-24,64,20 - 44,0.454545,2.200000,Eurostile,EurostileBold
Better,21,44,-23,65,21 - 44,0.477273,2.095238,Eurostile,EurostileBold
God,22,35,-13,57,22 - 35,0.628571,1.590909,Eurostile,Eurostile
Ryan,25,31,-6,56,25 - 31,0.806452,1.240000,Eurostile,Eurostile
Small business,14,27,-13,41,14 - 27,0.518519,1.928571,Eurostile,Eurostile
Freedom,8,21,-13,29,8 - 21,0.380952,2.625000,Eurostile,EurostileBold
Debt,13,21,-8,34,13 - 21,0.619048,1.615385,Eurostile,Eurostile
American dream,17,20,-3,37,17 - 20,0.850000,1.176471,Eurostile,Eurostile
Hope,17,19,-2,36,17 - 19,0.894737,1.117647,Eurostile,Eurostile
Unemployment,1,17,-16,18,1 - 17,0.058824,17.000000,Eurostile,EurostileBold
Fail,7,17,-10,24,7 - 17,0.411765,2.428571,Eurostile,EurostileBold
Spending,7,15,-8,22,7 - 15,0.466667,2.142857,Eurostile,EurostileBold
Regulation,2,14,-12,16,2 - 14,0.142857,7.000000,Eurostile,EurostileBold
Obamacare,4,11,-7,15,4 - 11,0.363636,2.750000,Eurostile,EurostileBold
Faith,6,11,-5,17,6 - 11,0.545455,1.833333,Eurostile,Eurostile
Church,1,9,-8,10,1 - 9,0.111111,9.000000,Eurostile,Eurostile
Marry,6,8,-2,14,6 - 8,0.750000,1.333333,Eurostile,Eurostile
Job creators,1,5,-4,6,1 - 5,0.200000,5.000000,Eurostile,Eurostile
Flag,1,4,-3,5,1 - 4,0.250000,4.000000,Eurostile,Eurostile
Red tape,0,3,-3,3,0 - 3,0.000000,1000.000000,Eurostile,Eurostile
