id,donor_long,donor_short,agency_long,agency_short,donor_slug,agency_slug,donor_description,agency_description,recipient,donor_responded,cso_name,iati,dac,totalaid,recipient1,recipient1_value,recipient2,recipient2_value,recipient3,recipient3_value,recipient4,recipient4_value,recipient5,recipient5_value,url,rank,rank_order,total,total_org,total_country,total_activity,ranking_group,ranking_group_order,updatetext,donor_tag
1,Adaptation Fund,Adaptation Fund,,,af,,,"The Adaptation Fund is not an IATI signatory, nor covered by the Busan common standard commitments. The World Bank, an IATI signatory, serves as the interim trustee of the Fund.
The Adaptation Fund ranked 17th overall, first among the climate finance institutions assessed. It scored well at the activity level, ranking third among all donors for this level, and poorly at the organisation level, ranking 50th at this level. Activity level information is published in an online database, though the bulk of project information lies in PDF documents that are neither searchable nor comparable across projects. The Adaptation Fund is currently developing a mapping tool for all projects.
The Adaptation Fund should maximise its transparency by working with IATI, the United Nations Framework for Climate Change Convention (UNFCCC), other climate funds and the World Bank to ensure that its information is timely, comprehensive, accessible and internationally comparable. Particular attention should be paid to releasing project information in more accessible formats.",,yes,,,,,,,,,,,,,,,,17,17,0.582698,0.416667,0.571429,0.76,moderate,3,,CFF
2,African Development Bank,AfDB,,,afdb,,,"The African Development Bank (AfDB) signed IATI in April 2011 but has yet to produce an implementation schedule. AfDB introduced an updated Disclosure Policy in March 2012, importantly making disclosure the rule rather the exception, but did not include its commitment to publishing to a common standard (IATI).
The AfDB has scored 71.4%, a slight improvement of 4.1 percentage points on its 2011 score, although this increase is largely due to changes in the 2012 methodology. The AfDB scores particularly strongly at the activity and country levels, ranking 3rd and 7th respectively amongst all donors for those levels. It continues to add projects to its geo-coding initiative, having mapped over 260 of its projects to date. Most project information is found in a comprehensive database that could easily be made internationally comparable by publishing to IATI. Most project information is published in English and French.
The AfDB should publish an implementation schedule by December 2012 and begin publishing the information in its online database in the IATI format in 2013.",,yes,,,,,,,,,,,,,,,,8,8,0.713651,0.666667,0.714286,0.76,fair,2,,Multilateral
3,Asian Development Bank,AsDB,,,asdb,,,"The Asian Development Bank (AsDB) is an IATI signatory and should be congratulated for beginning publication in November 2011. It also published an implementation schedule in August 2012, committing to IATI data coverage of 100% of Asian Development Fund development flows and sovereign operations of the Ordinary Capital Resources of the AsDB.
The AsDB performed consistently well across all levels, moving up four places in rank from the 2011 Index. The AsDB scored particularly highly at the activity level, tying 7th at this level. The improved score (up 12.9 percentage points from the 2011 Index) is primarily attributed to its high scores on the newly added indicators in the 2012 Index, though AsDB did score on some indicators for the first time due to its publication of activity and organisation files to IATI. Most information is provided in a comprehensive database, which the CSO reported as being fairly easy to navigate, providing a good degree of information at all levels of programmes, projects and sub-components. Organisation and activity level information is available on the IATI Registry.
The AsDB should continue to improve the quality and coverage of its IATI data and pursue automation and quarterly publication, as discussed in its implementation schedule.",,yes,,,,,,,,,,,,,,,,12,12,0.628783,0.777778,0.428571,0.68,fair,2,,Multilateral
4,Australia,Australia,Australian Agency for International Development,,australia,,,"Australia is a signatory to IATI and should be congratulated for publishing project data to the IATI Registry in December 2011, building on its initial document publication in September. It has not joined OGP.
AusAID improved remarkably with the third largest increase in score of all donors from the 2011 Pilot Index, having improved its score by 31 percentage points and its rank by 16 places. This improvement is largely due to its publication of activity data in IATI, resulting in AusAID scoring on 15 more indicators in the activity level than it did in 2011. However, it does relatively poorly at the country level, ranking 31st on this level, particularly when compared to its top 10 rankings for both the activity and organisation levels. AusAID’s IATI files are available in English.
AusAID should continue to improve the quality and scope of its IATI data and produce a refreshed implementation schedule by December 2012. It should also endeavour to publish country level documents such as MoUs, evaluations and results consistently. Australia should also consider joining OGP.",,yes,World Vision Australia,,,,,,,,,,,,,,,18,18,0.57709,0.805556,0.285714,0.64,moderate,3,,Bilateral
5,Austria,Austria,Austrian Development Agency,,austria,,,"Austria has not signed IATI or joined OGP. It has committed to implement the Busan common standard.
Austria scored in the poor category, 5.5% beneath the overall average score of the 2012 Index, and scoring particularly low on the activity level indicators, with just 20.0%. Austria dropped in rank dramatically from the 2011 Index, due to progress made by other donors. When controlling for changes to the 2012 methodology, Austria’s score dropped significantly, as several documents published in 2011 did not score in 2012. Significantly, Austria did not score on the organisation level three-year budget indicators, as they have yet to be updated beyond 2014. Most information is contained in a database written partly in English and partly in German, only accessible through the German version of the site. It is unclear how complete the database is, and it appears to be updated manually rather than linked directly to the internal database. Analysis of the database suggested that Bosnia-Herzegovina was spelled four different ways, indicating that the country name was manually typed in for each project. Austria did not respond to an invitation to provide feedback during the survey process.
Austria should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. Austria should also consider joining OGP.",,no,,,,,,,,,,,,,,,,42,42,0.357672,0.444444,0.428571,0.2,poor,4,,Bilateral
6,Belgium,Belgium,Belgium Development Agency,,belgium,,,"Belgium has not signed IATI or joined OGP. It has committed to implement the Busan common standard.
Belgium scored 42%, but dropped considerably in rank from the 2011 Index due to progress made by other donors. Belgium did not score on several indicators that it scored on in 2011, such as their forward budgets at the country level, which have not been updated, though this is not reflected in the overall score as it performed well on the newly added indicators. Most information is found in an ODA database in English, French and Dutch that provides basic information. It could quite easily be converted to IATI-XML to create a good first publication.
Belgium should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. It should also consider joining OGP.",,no,CNCD&mdash;11.11.11,,,,,,,,,,,,,,,30,30,0.46545,0.527778,0.428571,0.44,moderate,3,,Bilateral
7,Brazil,Brazil,Brazilian Cooperation Agency,,brazil,,,"Brazil has not signed IATI. It has emphasised the voluntary nature of its commitment to the Busan agreement. It is a founder member of OGP, serving as a co-chair until September 2012, and has produced its OGP National Action Plan.
Brazil’s Cooperation Agency (ABC) scored 27.9%, performing particularly poorly at the country level, though it scored above average for all donors at the activity level. Basic project information is available in a new and comprehensive database; all information is presented in Portuguese. More detailed project information is available in reports covering 2005&mdash;2009. Though the ABC declined to comment on the survey, they reported that information covering activities in 2010 will soon be published and systems are being put in place to report on 2011&mdash;2012 data.
Brazil should engage with IATI and consider its implementation, in order to remain consistent with the domestic transparency agenda and further demonstrate its global leadership in relation to OGP. It should strive to publish timely, comprehensive and accessible information about its international cooperation, and reflect this in its OGP National Action Plan. Brazil should also consider building on its project database as this will facilitate publication to IATI.",,declined,Instituto de Estudos Socioeconômicos,,,,,,,,,,,,,,,49,49,0.27873,0.333333,0.142857,0.36,poor,4,,Bilateral
8,Bulgaria,Bulgaria,Ministry of Foreign Affairs,,bulgaria,,,"Bulgaria has not signed IATI but has committed to implement the Busan common standard. It is a member of OGP and has published a National Action Plan.
Bulgaria performed very poorly, ranking 66th out of 72 donors. Bulgaria is one of seven donors to score on no indicators at the country or activity level, as no current country or activity level data is published. It was not even possible to determine Bulgaria’s biggest recipient of aid. The MFA did not respond to a request for feedback during the survey process.
Bulgaria should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. It should include IATI in its OGP National Action Plan.",,no,,,,,,,,,,,,,,,,66,66,0.074074,0.222222,0,0,very poor,5,,Bilateral
9,Canada,Canada,Canadian International Development Agency,,canada,,,"Canada should be commended for signing IATI during HLF-4. It has yet to produce an implementation schedule but has committed to do so in its OGP National Action Plan. Canada has also endorsed the Open Aid Partnership.
Canada has improved its score in 2012 but dropped in rank due to progress made by other donors. However, the majority of its increased score from the 2011 Index is due to its performance on newly added indicators and the fact that, despite not yet having a comprehensive project database, all projects located in Haiti are reported. Canada has also improved due to signing IATI in November 2011. Most project information can be found in a searchable project database, available in English and French, that is not yet comprehensive for all recipient countries. CIDA plans to add more projects to the project database until it is comprehensive.
Canada should produce an implementation schedule by December 2012 and begin IATI implementation in 2013. It could do this by making its Open Data portal IATI compatible, which could help to quickly provide a good first publication.",,yes,Canadian Council for International Co-operation,,,,,,,,,,,,,,,32,32,0.458942,0.611111,0.285714,0.48,moderate,3,,Bilateral
10,China,China,Ministry of Commerce,,china,,,"China has not signed IATI nor joined OGP. It has emphasised the voluntary nature of its commitment to the Busan agreement.
China is one of two donors who publish no organisation, country or activity level information systematically. China only scores for having a Freedom of Information act of average quality: its reduced score compared to 2011 is due to a change in methodology from a binary yes/no score for Freedom of Information Acts to an indicator that captures the quality of legislation. It is understood that MOFCOM has an internal database of projects. The data is not made publicly available, however. Requests to the ministry for feedback during the survey process were not answered.
China should engage with IATI and consider implementation. It should also develop a publication schedule for information that Chinese agencies already hold, with the long-term goal of publishing timely, comprehensive and accessible information about its international cooperation.",,no,"Sven Grimm, Stellenbosch University",,,,,,,,,,,,,,,71,71,0.018519,0.055556,0,0,very poor,5,,Bilateral
