word,d,r,delta,total,counts,ratio1,ratio2
Obama,175,66,109,241,175 - 66,2.651515,0.377143
Romney,92,109,-17,201,92 - 109,0.844037,1.184783
Jobs,88,80,8,168,88 - 80,1.100000,0.909091
Business,35,86,-51,121,35 - 86,0.406977,2.457143
Families,66,54,12,120,66 - 54,1.222222,0.818182
Women,69,26,43,95,69 - 26,2.653846,0.376812
Economy,53,41,12,94,53 - 41,1.292683,0.773585
Leadership,32,53,-21,85,32 - 53,0.603774,1.656250
Government,13,66,-53,79,13 - 66,0.196970,5.076923
Tax,39,32,7,71,39 - 32,1.218750,0.820513
Better,21,44,-23,65,21 - 44,0.477273,2.095238
Success,20,44,-24,64,20 - 44,0.454545,2.200000
God,22,35,-13,57,22 - 35,0.628571,1.590909
Ryan,25,31,-6,56,25 - 31,0.806452,1.240000
Middle class,47,7,40,54,47 - 7,6.714286,0.148936
Fight,39,11,28,50,39 - 11,3.545455,0.282051
Health,38,9,29,47,38 - 9,4.222222,0.236842
Education,33,10,23,43,33 - 10,3.300000,0.303030
Small business,14,27,-13,41,14 - 27,0.518519,1.928571
Vote,29,11,18,40,29 - 11,2.636364,0.379310
Forward,33,6,27,39,33 - 6,5.500000,0.181818
Choice,22,15,7,37,22 - 15,1.466667,0.681818
American dream,17,20,-3,37,17 - 20,0.850000,1.176471
Hope,17,19,-2,36,17 - 19,0.894737,1.117647
Debt,13,21,-8,34,13 - 21,0.619048,1.615385
Medicare,26,7,19,33,26 - 7,3.714286,0.269231
Energy,20,13,7,33,20 - 13,1.538462,0.650000
Invest,22,7,15,29,22 - 7,3.142857,0.318182
Freedom,8,21,-13,29,8 - 21,0.380952,2.625000
War,19,9,10,28,19 - 9,2.111111,0.473684
Fail,7,17,-10,24,7 - 17,0.411765,2.428571
Workers,19,4,15,23,19 - 4,4.750000,0.210526
Spending,7,15,-8,22,7 - 15,0.466667,2.142857
Oil / Gas,11,10,1,21,11 - 10,1.100000,0.909091
Immigration,10,10,0,20,10 - 10,1.000000,1.000000
Auto,18,1,17,19,18 - 1,18.000000,0.055556
Veteran,16,2,14,18,16 - 2,8.000000,0.125000
Unemployment,1,17,-16,18,1 - 17,0.058824,17.000000
Military,12,5,7,17,12 - 5,2.400000,0.416667
Biden,11,6,5,17,11 - 6,1.833333,0.545455
Faith,6,11,-5,17,6 - 11,0.545455,1.833333
Regulation,2,14,-12,16,2 - 14,0.142857,7.000000
Obamacare,4,11,-7,15,4 - 11,0.363636,2.750000
Fair,13,1,12,14,13 - 1,13.000000,0.076923
Seniors,11,3,8,14,11 - 3,3.666667,0.272727
Marry,6,8,-2,14,6 - 8,0.750000,1.333333
Church,1,9,-8,10,1 - 9,0.111111,9.000000
Millionaires,7,0,7,7,7 - 0,1000.000000,0.000000
Equal pay,6,0,6,6,6 - 0,1000.000000,0.000000
Wall Street,5,1,4,6,5 - 1,5.000000,0.200000
Job creators,1,5,-4,6,1 - 5,0.200000,5.000000
bin Laden,5,0,5,5,5 - 0,1000.000000,0.000000
Flag,1,4,-3,5,1 - 4,0.250000,4.000000
Arithmetic,3,0,3,3,3 - 0,1000.000000,0.000000
Science,2,1,1,3,2 - 1,2.000000,0.500000
Red tape,0,3,-3,3,0 - 3,0.000000,1000.000000
Level playing field,2,0,2,2,2 - 0,1000.000000,0.000000
Medicaid,2,0,2,2,2 - 0,1000.000000,0.000000
